gene,gene.name,reliability,adrenal.gland.cells.in.zona.fasciculata,adrenal.gland.cells.in.zona.glomerulosa,adrenal.gland.cells.in.zona.reticularis,adrenal.gland.glandular.cells,adrenal.gland.medullary.cells,appendix.glandular.cells,appendix.lymphoid.tissue,bone.marrow.hematopoietic.cells,breast.adipocytes,breast.glandular.cells,breast.myoepithelial.cells,bronchus.respiratory.epithelial.cells,caudate.glial.cells,caudate.neuronal.cells,cerebellum.cells.in.granular.layer,cerebellum.cells.in.molecular.layer,cerebellum.Purkinje.cells,cerebral.cortex.endothelial.cells,cerebral.cortex.glial.cells,cerebral.cortex.neuronal.cells,cerebral.cortex.neuropil,cerebral.cortex.processes/nerve.bundles,cervix..uterine.glandular.cells,cervix..uterine.squamous.epithelial.cells,colon.endothelial.cells,colon.glandular.cells,colon.peripheral.nerve/ganglion,duodenum.glandular.cells,endometrium.1.cells.in.endometrial.stroma,endometrium.1.glandular.cells,endometrium.2.cells.in.endometrial.stroma,endometrium.2.glandular.cells,epididymis.glandular.cells,esophagus.squamous.epithelial.cells,eye.lens,fallopian.tube.glandular.cells,gallbladder.glandular.cells,hair.cells.in.cortex/medulla,hair.cells.in.cuticle,hair.cells.in.external.root.sheath,hair.cells.in.internal.root.sheath,heart.muscle.myocytes,hippocampus.glial.cells,hippocampus.neuronal.cells,hippocampus.processes/nerve.bundles,hypothalamus.glial.cells,hypothalamus.neuronal.cells,hypothalamus.processes/nerve.bundles,kidney.cells.in.glomeruli,kidney.cells.in.tubules,lactating.breast.ductal.cells,lactating.breast.lactating.glandular.cells,liver.bile.duct.cells,liver.hepatocytes,lung.macrophages,lung.pneumocytes,lymph.node.germinal.center.cells,lymph.node.non-germinal.center.cells,nasopharynx.respiratory.epithelial.cells,oral.mucosa.squamous.epithelial.cells,ovary.follicle.cells,ovary.ovarian.stroma.cells,pancreas.exocrine.glandular.cells,pancreas.islets.of.Langerhans,parathyroid.gland.glandular.cells,pituitary.gland.cells.in.anterior,pituitary.gland.cells.in.posterior,placenta.decidual.cells,placenta.trophoblastic.cells,prostate.glandular.cells,rectum.glandular.cells,retina.cells.in.inner.nuclear.layer,retina.cells.in.photoreceptor.layer,retina.ganglion.cells,retina.nerve.fibers.in.inner.plexiform.layer,retina.nerve.fibers.in.nerve.fiber.layer,retina.nerve.fibers.in.outer.plexiform.layer,salivary.gland.glandular.cells,seminal.vesicle.glandular.cells,skeletal.muscle.myocytes,skin.1.fibroblasts,skin.1.keratinocytes,skin.1.Langerhans,skin.1.melanocytes,skin.2.epidermal.cells,skin.sebaceous.cells,skin.secretory.cells,skin.sweat.ducts,small.intestine.glandular.cells,smooth.muscle.smooth.muscle.cells,soft.tissue.1.adipocytes,soft.tissue.1.chondrocytes,soft.tissue.1.fibroblasts,soft.tissue.1.peripheral.nerve,soft.tissue.2.adipocytes,soft.tissue.2.chondrocytes,soft.tissue.2.fibroblasts,soft.tissue.2.peripheral.nerve,spleen.cells.in.red.pulp,spleen.cells.in.white.pulp,stomach.1.glandular.cells,stomach.2.glandular.cells,testis.cells.in.seminiferous.ducts,testis.Leydig.cells,thyroid.gland.glandular.cells,tonsil.germinal.center.cells,tonsil.non-germinal.center.cells,tonsil.squamous.epithelial.cells,urinary.bladder.urothelial.cells,vagina.squamous.epithelial.cells
ENSG00000000003,TSPAN6,Uncertain,NA,NA,NA,0,NA,2,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,NA,3,3,0,2,0,1,0,3,0,3,2,3,NA,3,2,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,2,NA,NA,2,0,0,1,0,0,3,2,NA,0,2,1,2,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,2,3,0,0,3,0,0,2,NA,NA,NA,2,0,0,NA,0,0,0,NA,0,0,0,0,2,2,1,1,2,0,0,3,3,3
ENSG00000000419,DPM1,Uncertain,NA,NA,NA,3,NA,3,2,2,2,2,2,2,1,2,2,0,2,2,1,2,1,NA,2,2,2,3,1,3,2,2,1,2,2,2,NA,2,3,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,2,3,NA,NA,1,2,2,2,1,2,2,2,2,1,3,NA,2,NA,NA,2,3,2,3,NA,NA,NA,NA,NA,NA,2,2,3,2,2,2,3,2,NA,NA,NA,3,3,NA,2,2,NA,2,NA,2,0,1,2,3,3,2,3,2,1,2,2,2,2
ENSG00000000457,SCYL3,Uncertain,NA,NA,NA,0,NA,1,0,1,1,2,2,0,0,NA,0,0,1,2,1,2,1,NA,NA,0,2,2,2,2,0,1,0,1,2,1,NA,2,1,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,2,1,NA,NA,0,1,2,0,1,1,2,1,NA,1,2,2,2,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,2,2,2,NA,NA,NA,2,2,1,NA,NA,1,1,NA,2,1,0,1,2,2,2,1,2,2,1,2,3,1
ENSG00000000460,C1orf112,Uncertain,NA,NA,NA,2,NA,0,1,1,2,2,2,2,1,1,1,1,1,2,1,1,0,NA,2,2,0,0,2,0,1,0,1,0,2,2,NA,1,2,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,2,2,NA,NA,0,2,2,2,1,1,2,2,2,2,1,2,2,NA,NA,2,2,2,0,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,0,2,NA,NA,NA,0,2,1,NA,1,0,2,NA,2,2,2,0,1,1,1,2,3,1,1,2,2,2
ENSG00000000938,FGR,Supportive,NA,NA,NA,0,NA,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,2,0,1,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,NA,0,0,2,0,0,0,0,0,0,2,2,1,0,0
ENSG00000000971,CFH,Supportive,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001036,FUCA2,Uncertain,NA,NA,NA,3,NA,3,1,1,0,0,0,2,0,2,0,1,3,0,0,0,0,NA,1,0,0,3,0,2,0,2,0,2,3,2,NA,2,3,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,2,NA,NA,2,3,2,1,0,1,2,0,0,0,2,2,2,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,2,1,0,1,0,1,0,NA,NA,NA,3,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,3,0,0,0,1,0
ENSG00000001084,GCLC,Uncertain,NA,NA,NA,2,NA,1,1,2,0,1,0,2,1,1,0,1,2,0,2,2,0,NA,1,1,1,2,1,2,0,2,0,1,2,1,NA,3,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,2,NA,NA,1,2,2,1,0,2,2,2,NA,0,2,1,2,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,1,2,1,0,1,0,0,1,NA,NA,NA,1,1,0,NA,0,1,2,NA,NA,NA,1,0,2,1,2,2,2,0,0,2,3,1
ENSG00000001167,NFYA,Supportive,NA,NA,NA,2,NA,2,NA,2,0,2,2,2,1,1,2,1,0,2,2,2,0,NA,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,2,2,NA,NA,2,0,1,2,NA,NA,2,2,NA,2,2,2,2,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,2,0,2,2,NA,NA,NA,2,2,0,0,1,2,0,NA,1,0,2,2,2,2,2,2,2,2,2,2,2,2
ENSG00000001461,NIPAL3,Uncertain,NA,NA,NA,3,NA,3,1,2,0,2,2,3,2,3,3,2,2,2,3,2,3,NA,3,3,2,3,1,3,2,3,0,3,3,2,NA,3,3,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,3,3,NA,NA,2,2,2,2,2,2,NA,2,NA,2,3,3,3,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,3,2,1,3,3,3,2,3,NA,NA,NA,3,1,1,NA,2,2,1,NA,2,NA,2,2,2,3,3,1,3,3,2,2,2,2
ENSG00000001497,LAS1L,Supportive,NA,NA,NA,3,NA,3,2,2,2,3,2,3,2,2,1,2,3,2,2,3,0,NA,3,3,3,3,2,3,3,3,2,3,3,3,NA,3,3,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,3,3,NA,NA,1,2,0,2,2,2,3,3,3,3,3,3,2,NA,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,3,3,NA,NA,NA,3,3,NA,2,2,2,2,NA,3,2,2,2,3,3,3,3,3,3,3,3,3,3
ENSG00000001561,ENPP4,Uncertain,NA,NA,NA,3,NA,2,1,2,0,2,0,3,2,3,1,2,2,0,2,3,0,NA,NA,1,2,2,2,3,0,2,0,2,2,1,NA,2,3,NA,NA,NA,NA,3,2,3,NA,NA,NA,NA,3,3,NA,NA,2,2,3,0,1,1,3,1,1,0,2,2,3,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,3,3,1,0,2,0,0,2,NA,NA,NA,3,1,1,NA,1,0,1,NA,1,NA,2,0,3,3,1,3,2,1,1,0,2,0
ENSG00000001617,SEMA3F,Uncertain,NA,NA,NA,2,NA,1,0,0,3,2,2,2,2,0,0,0,3,0,2,0,0,NA,1,0,0,2,2,1,0,0,0,0,0,1,NA,1,0,NA,NA,NA,NA,0,2,0,NA,NA,NA,NA,0,1,NA,NA,0,1,0,2,0,0,1,1,0,0,2,3,0,NA,NA,0,1,1,2,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,2,2,NA,NA,NA,2,0,3,NA,0,NA,3,0,0,0,0,0,2,0,0,2,0,0,0,2,1,1
ENSG00000001626,CFTR,Supportive,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,ANKIB1,Uncertain,NA,NA,NA,2,NA,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,1,NA,2,1,2,2,NA,2,0,2,1,1,2,2,NA,2,3,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,0,2,NA,NA,2,2,2,1,2,2,2,1,2,2,2,2,2,NA,NA,2,3,1,2,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,1,1,1,2,3,3,3,2,2,2,2,2,3,2
ENSG00000001630,CYP51A1,Uncertain,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ENSG00000001631,KRIT1,Supportive,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002330,BAD,Uncertain,NA,NA,NA,2,NA,2,1,1,0,2,2,3,2,3,2,2,2,2,2,2,2,NA,2,1,1,2,2,2,0,2,1,2,2,2,NA,2,2,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,2,3,NA,NA,2,2,1,2,1,1,3,1,NA,0,2,2,2,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,NA,2,2,0,0,1,0,1,2,NA,NA,NA,2,0,1,2,0,0,1,2,0,0,1,1,2,2,2,2,2,2,1,2,2,2
ENSG00000002549,LAP3,Supportive,NA,NA,NA,2,NA,2,2,1,1,2,2,2,0,0,0,0,0,2,0,0,0,NA,1,0,2,2,0,2,1,2,0,1,2,1,NA,2,2,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,1,3,NA,NA,1,3,2,1,2,1,2,1,NA,1,2,1,2,NA,NA,1,0,2,2,NA,NA,NA,NA,NA,NA,2,2,0,1,0,0,0,1,NA,NA,NA,2,0,1,2,0,0,0,NA,0,0,0,0,3,2,2,1,2,2,2,2,2,1
ENSG00000002586,CD99,Supportive,NA,NA,NA,2,NA,0,0,3,0,1,0,2,0,0,0,0,0,2,0,0,0,NA,3,2,1,0,NA,1,3,1,3,0,1,3,NA,2,1,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,2,0,NA,NA,0,0,1,0,NA,2,3,0,1,3,0,3,0,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,2,2,0,2,2,0,2,2,NA,NA,NA,0,0,1,NA,NA,NA,1,NA,2,NA,3,1,0,0,3,0,2,0,1,1,2,2
ENSG00000002587,HS3ST1,Uncertain,NA,NA,NA,0,NA,0,0,0,0,0,0,0,3,3,2,3,2,0,2,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,2,3,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002726,AOC1,Uncertain,NA,NA,NA,1,NA,1,2,1,0,1,0,1,1,1,0,0,0,0,1,0,1,NA,0,1,1,3,0,2,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,0,3,NA,NA,0,0,0,0,NA,1,0,1,NA,0,1,0,0,NA,NA,1,2,3,2,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,1,1,NA,NA,NA,2,0,1,1,0,0,NA,1,0,0,1,0,1,1,2,0,1,1,1,0,0,1
ENSG00000002746,HECW1,Uncertain,NA,NA,NA,2,NA,2,1,1,2,2,2,2,2,2,2,3,2,0,0,3,2,NA,2,NA,2,2,2,2,2,2,2,2,2,NA,NA,2,2,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,2,2,NA,NA,1,1,2,2,1,2,2,2,NA,2,2,1,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,1,NA,NA,NA,2,1,0,NA,2,2,0,NA,2,1,1,1,2,2,2,2,2,1,2,2,2,2
ENSG00000002822,MAD1L1,Supportive,NA,NA,NA,2,NA,2,2,2,1,2,2,2,2,2,2,3,3,1,2,2,1,NA,2,1,1,2,2,3,2,3,2,2,3,2,NA,3,3,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,3,2,NA,NA,1,1,2,1,2,2,2,2,NA,2,2,2,2,NA,NA,3,3,2,2,NA,NA,NA,NA,NA,NA,1,2,2,1,2,1,1,2,NA,NA,NA,3,2,1,1,1,1,1,NA,1,NA,1,1,3,3,3,2,2,2,2,2,3,2
ENSG00000002834,LASP1,Supportive,NA,NA,NA,0,NA,3,3,2,0,2,0,1,1,1,1,1,1,2,1,0,1,NA,0,0,1,3,1,3,0,0,0,2,0,0,NA,0,2,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,2,NA,NA,1,1,2,1,2,2,1,0,NA,1,1,0,1,NA,NA,2,0,0,3,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,3,0,0,0,0,0,0,NA,0,0,2,2,2,3,0,0,1,2,2,0,2,0
ENSG00000002919,SNX11,Uncertain,NA,NA,NA,1,NA,2,1,0,0,1,2,1,0,1,2,0,2,2,0,1,2,NA,1,0,2,2,1,2,0,1,0,2,2,1,NA,2,3,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,2,2,NA,NA,0,0,1,2,1,2,1,2,2,0,2,0,2,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,2,0,NA,NA,NA,3,0,0,1,2,NA,0,1,2,NA,1,1,2,2,0,1,1,2,1,3,2,0
ENSG00000002933,TMEM176A,Uncertain,NA,NA,NA,2,NA,3,2,1,2,2,2,2,2,0,1,0,0,1,1,2,1,NA,1,2,2,3,3,3,2,2,1,1,2,0,NA,1,3,NA,NA,NA,NA,2,2,0,NA,NA,NA,NA,0,3,NA,NA,0,3,2,2,2,2,2,0,NA,2,1,1,3,NA,NA,3,2,1,3,NA,NA,NA,NA,NA,NA,1,2,1,2,0,0,2,0,NA,NA,NA,3,1,2,NA,2,0,3,NA,2,NA,1,0,2,2,2,2,2,2,2,0,2,0
ENSG00000003056,M6PR,Uncertain,NA,NA,NA,3,NA,3,3,3,3,2,2,3,2,3,2,2,2,2,2,2,2,NA,3,2,2,2,NA,3,3,3,2,3,3,2,NA,2,3,NA,NA,NA,NA,3,2,3,NA,NA,NA,NA,2,3,NA,NA,2,3,3,2,2,2,2,3,NA,2,3,2,3,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,3,3,3,3,2,2,2,2,NA,NA,NA,3,2,3,2,3,2,3,3,3,NA,3,3,3,3,3,3,3,3,3,2,3,2
ENSG00000003096,KLHL13,Uncertain,NA,NA,NA,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,2,0,1,0,0,1,0,2,0,2,1,0,NA,1,2,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,0,2,NA,NA,1,2,0,0,0,0,2,0,NA,0,0,1,0,NA,NA,0,0,2,1,NA,NA,NA,NA,NA,NA,2,2,1,0,0,0,0,1,NA,NA,NA,1,3,0,1,0,NA,0,0,0,0,0,0,2,1,0,2,2,0,0,0,2,0
ENSG00000003137,CYP26B1,Uncertain,NA,NA,NA,2,NA,0,1,1,0,1,1,NA,1,2,1,0,2,0,0,2,0,NA,2,0,1,1,0,1,0,0,0,0,1,0,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,0,1,NA,NA,0,2,0,0,2,0,1,0,NA,0,2,0,0,NA,NA,1,0,2,1,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,1,0,0,NA,0,0,0,NA,0,0,2,0,2,1,0,2,0,0,2,1,1,0
ENSG00000003147,ICA1,Uncertain,NA,NA,NA,1,NA,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,NA,NA,1,0,1,1,1,2,0,0,0,0,1,NA,0,1,NA,NA,NA,NA,3,0,0,NA,NA,NA,NA,0,1,NA,NA,0,1,0,0,0,0,1,1,2,0,1,1,0,NA,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,1,0,3,0,0,0,0,0,NA,NA,NA,1,3,0,NA,0,NA,0,NA,0,NA,1,0,1,1,1,0,2,0,0,2,2,1
ENSG00000003249,DBNDD1,Uncertain,NA,NA,NA,1,NA,2,1,0,0,3,1,2,0,2,NA,NA,NA,2,1,3,2,NA,2,3,1,3,1,3,1,2,2,2,2,3,NA,2,2,NA,NA,NA,NA,2,0,3,NA,NA,NA,NA,1,2,NA,NA,2,2,0,2,2,1,2,2,NA,0,3,2,1,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,1,1,1,0,3,1,2,2,NA,NA,NA,2,1,0,NA,1,1,0,0,0,NA,1,1,2,2,2,2,2,2,2,2,2,2
ENSG00000003393,ALS2,Uncertain,NA,NA,NA,2,NA,2,NA,0,0,2,1,2,0,0,1,0,3,0,0,1,2,NA,0,0,2,2,2,2,0,2,0,1,1,1,NA,2,2,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,3,3,NA,NA,0,2,2,1,2,2,0,2,NA,1,2,2,2,NA,NA,0,1,2,2,NA,NA,NA,NA,NA,NA,0,2,1,0,1,0,0,2,NA,NA,NA,2,1,0,1,1,NA,0,NA,NA,NA,1,2,2,2,2,2,1,2,2,1,2,0
ENSG00000003400,CASP10,Uncertain,NA,NA,NA,2,NA,1,1,2,0,1,0,1,0,1,0,1,1,0,0,1,0,NA,1,0,1,2,1,2,1,1,1,1,1,0,NA,1,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,0,1,NA,NA,0,0,2,2,0,2,1,0,1,0,1,0,2,NA,NA,1,0,1,2,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,1,1,NA,NA,NA,2,1,0,0,0,0,0,NA,0,0,2,1,2,2,2,1,1,0,2,0,2,0
ENSG00000003402,CFLAR,Uncertain,NA,NA,NA,3,NA,3,2,3,0,3,2,3,2,3,2,2,3,2,2,3,2,NA,2,3,2,3,2,3,2,2,2,2,2,3,NA,3,3,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,1,2,NA,NA,2,2,3,2,2,1,3,2,NA,1,3,2,3,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,3,0,2,NA,2,NA,2,NA,1,NA,2,2,2,2,2,3,2,2,2,3,2,2
ENSG00000003436,TFPI,Supportive,NA,NA,NA,2,NA,3,2,2,0,2,1,2,1,2,2,2,2,2,1,2,2,NA,NA,NA,3,3,NA,3,1,2,1,2,2,2,NA,2,3,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,2,3,NA,NA,2,2,3,2,2,1,2,3,2,1,2,2,2,NA,NA,NA,3,2,3,NA,NA,NA,NA,NA,NA,0,2,2,1,2,1,0,2,NA,NA,NA,3,1,0,NA,1,1,0,NA,0,NA,1,0,3,3,1,2,2,2,1,2,2,1
ENSG00000003509,NDUFAF7,Uncertain,NA,NA,NA,2,NA,2,0,2,0,1,1,2,1,2,0,0,1,2,1,2,1,NA,2,1,2,2,2,2,3,2,3,2,2,1,NA,2,2,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,2,1,NA,NA,1,1,2,2,2,2,2,2,3,1,2,1,3,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,2,3,2,NA,2,0,3,2,NA,NA,NA,2,3,1,3,2,NA,1,NA,2,NA,2,0,3,2,3,3,2,1,2,2,2,1
ENSG00000003756,RBM5,Uncertain,NA,NA,NA,3,NA,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,1,NA,NA,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,3,3,NA,NA,2,2,2,3,3,3,3,3,3,2,3,3,3,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,NA,NA,NA,3,3,3,NA,3,NA,3,NA,3,NA,3,3,3,3,3,3,3,3,3,3,3,3
ENSG00000004139,SARM1,Uncertain,NA,NA,NA,2,NA,1,0,0,0,1,1,1,2,1,0,0,1,0,1,1,1,NA,0,NA,0,2,0,1,0,0,0,1,1,1,NA,1,2,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,2,NA,NA,2,0,2,0,0,1,0,1,2,0,2,1,0,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,1,NA,NA,NA,2,0,0,NA,0,0,0,NA,0,0,0,0,1,0,2,2,1,1,1,1,1,0
ENSG00000004399,PLXND1,Uncertain,NA,NA,NA,1,NA,3,1,1,0,3,3,NA,2,2,0,1,1,2,2,2,1,NA,0,2,2,3,3,1,0,0,1,0,1,2,NA,2,2,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,1,2,NA,NA,1,2,1,0,0,0,2,3,1,2,1,NA,3,NA,NA,2,3,0,3,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,NA,NA,NA,2,1,0,1,2,2,0,NA,2,2,2,0,0,1,2,2,3,0,0,1,2,2
ENSG00000004455,AK2,Uncertain,NA,NA,NA,3,NA,2,2,2,0,3,0,2,0,0,0,0,2,1,0,0,1,NA,2,2,1,3,1,3,0,2,0,2,2,2,NA,2,3,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,0,3,NA,NA,0,2,2,2,1,1,2,2,0,2,3,2,3,NA,NA,3,3,3,2,NA,NA,NA,NA,NA,NA,2,3,2,1,2,1,1,2,NA,NA,NA,3,0,1,2,0,0,1,NA,0,1,0,0,3,2,2,3,2,0,1,2,2,2
ENSG00000004468,CD38,Supportive,NA,NA,NA,0,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,2,3,0,0,0,0,0,0,0,NA,NA,0,0,3,0,NA,NA,NA,NA,NA,NA,0,3,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,2,3,0,0,0
ENSG00000004478,FKBP4,Supportive,NA,NA,NA,2,NA,2,0,1,0,2,0,1,2,2,2,2,2,1,2,2,0,NA,NA,1,0,1,1,1,0,2,0,2,2,2,NA,2,1,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,0,2,NA,NA,1,0,1,0,2,1,1,0,NA,0,1,1,2,NA,NA,2,2,2,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,1,0,1,NA,NA,NA,0,1,1,NA,0,0,1,NA,0,NA,0,1,2,2,2,1,2,1,1,1,2,2
ENSG00000004487,KDM1A,Supportive,NA,NA,NA,3,NA,0,1,3,2,2,1,3,2,1,3,2,1,1,2,2,1,NA,2,2,0,2,1,2,3,2,3,0,2,2,NA,2,3,NA,NA,NA,NA,3,2,0,NA,NA,NA,NA,3,0,NA,NA,2,2,2,3,2,2,1,1,NA,3,2,0,3,NA,NA,NA,3,0,2,NA,NA,NA,NA,NA,NA,3,2,3,3,2,1,1,2,NA,NA,NA,1,1,1,2,3,0,1,NA,3,0,3,3,2,1,2,0,2,2,2,2,2,NA
ENSG00000004534,RBM6,Supportive,NA,NA,NA,3,NA,3,3,3,1,2,2,3,1,2,2,3,1,2,3,3,0,NA,3,3,2,3,NA,3,3,3,2,3,3,3,NA,3,3,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,3,3,NA,NA,1,1,3,3,3,3,3,3,3,3,3,2,3,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,3,1,3,3,3,3,3,3,NA,NA,NA,3,3,1,0,2,NA,1,NA,2,1,1,1,3,3,3,3,3,2,3,3,3,3
