int_id,breast_cancer,carcinoid,cervical_cancer,colorectal_cancer,endometrial_cancer,glioma,head_and_neck_cancer,liver_cancer,lung_cancer,lymphoma,melanoma,ovarian_cancer,pancreatic_cancer,prostate_cancer,renal_cancer,skin_cancer,stomach_cancer,testis_cancer,thyroid_cancer,urothelial_cancer
0,1.0909090909090908,1.25,0.8888888888888888,1.9166666666666665,2,0.2727272727272727,2,1.5454545454545454,0.5454545454545454,0.75,0.45454545454545453,1.2727272727272727,1.6363636363636362,1.7272727272727273,0.25,0.5,1.5833333333333333,0.8,1.6666666666666665,0.3
1,1.3333333333333333,2.25,1.1666666666666665,2.090909090909091,1.5833333333333333,0.6363636363636364,1,1.9166666666666665,1.1666666666666665,0.75,1.4000000000000001,2,2.166666666666667,1.8181818181818181,1.0909090909090908,0.9090909090909091,1.6,1.5,3,1.5
2,1.1818181818181817,0.25,1,1.4166666666666667,0.8181818181818181,0.09090909090909091,0.25,0.5833333333333334,0.41666666666666663,0.4166666666666667,0.25,0.8181818181818181,0.75,1.8333333333333333,0.75,0,0.9090909090909091,0.3333333333333333,1,0.5
3,0,0,0.4,0.2,0,0,0,0,0.18181818181818182,0.08333333333333333,0,0.09090909090909091,0.08333333333333333,0,0,0.18181818181818182,0,0,0,0.36363636363636365
4,1.0833333333333333,1,1.125,1.6666666666666665,0.8181818181818182,0.9166666666666666,1,0.8888888888888888,0.75,1.3333333333333333,1.1666666666666667,1,1,1.4,0.6363636363636364,0.7777777777777778,1.0833333333333333,0.75,1.25,1.1666666666666667
5,0.2727272727272727,0.5,0.09090909090909091,0.36363636363636365,0.08333333333333333,0,0.25,0.08333333333333333,0.09090909090909091,0,0.3,0.5,0.09090909090909091,0.4,0.16666666666666666,0,0.18181818181818182,0,0.5,0.1
6,1.8,1,1.7,1.6363636363636362,1.3,1,1.75,1.3333333333333335,1.3636363636363638,1,1.4545454545454546,1.6363636363636362,1.5,1.6,0.9166666666666666,1.8181818181818183,1.5,0.9090909090909091,1.5,1
7,1.8181818181818183,2,0.16666666666666666,2.454545454545454,0.5,1.2222222222222223,2,0.9090909090909091,1.3,0.8181818181818181,1.8333333333333335,1.3636363636363638,1.222222222222222,1.6,1,1.8,1.2,2.333333333333333,2.6666666666666665,1.8181818181818183
8,0.75,0.6666666666666666,0,0.1111111111111111,0.25,0.5,0,0,0,0,0,0.09090909090909091,0.2,0.4166666666666667,0,0.09090909090909091,0,0,0.75,0.08333333333333333
9,1.6,2,1.5,1.8181818181818183,1.8,1.6666666666666665,1.75,1.9166666666666667,1.4545454545454546,0.6666666666666666,2.25,1.7272727272727273,1.5833333333333335,2.454545454545454,0.75,1.1818181818181819,1.3636363636363635,1.4545454545454546,2,1.7000000000000002
10,1.9090909090909092,0.25,0.36363636363636365,0.75,0.75,0.6363636363636364,2,0.8333333333333333,0.8,0.36363636363636365,1.909090909090909,1.8333333333333335,0.41666666666666663,0,1.5,0.9090909090909091,0,0,0.75,0.25
11,2.416666666666667,2.5,2.272727272727273,2.6363636363636367,1.909090909090909,2,2.333333333333333,2.1818181818181817,1.75,1.6363636363636365,1.9166666666666665,2.25,2.1818181818181817,2.416666666666667,1.5833333333333333,1.5,2.272727272727273,2.3,2,2
12,2.5454545454545454,1.5,2.9166666666666665,3,2.083333333333333,2.7,3,2.416666666666667,2.4545454545454546,2,2.6666666666666665,2.7,2.9090909090909087,2.5833333333333335,1.5833333333333333,2.75,2.8333333333333335,1.5,2.25,2.7272727272727275
13,2.5454545454545454,3,2.6,2.75,2.4545454545454546,2.090909090909091,2,2.1818181818181817,2.5,2.727272727272727,2.9090909090909087,2.4166666666666665,2.6666666666666665,2.727272727272727,2.1666666666666665,2.818181818181818,2.3636363636363638,2.5833333333333335,2.75,2.083333333333333
14,0.16666666666666666,0.75,0.45454545454545453,1.75,1.6666666666666665,0,0,0.25,0,0,0,1.6363636363636362,0.5454545454545454,0.2,0.8333333333333333,0,1,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.16666666666666666,0,0
