int_id,breast,glia,cervix,colorectal,endometrium,testes,thyroid,kidney,liver,lung,lymph,pancreas,prostate,skin,melanocyte,stomach,urinary,head.and.neck,ovary,norm.carcinoid
5369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5371,1.5,1,1.5,1.3333333333333333,1.25,2.25,2,1.5,1,1,0,1.5,2,2,2,0,2,1.6666666666666667,0,1.7142857142857142
5372,0.5,0,0,0,0,0,0,0.5,1,0,2,1,0,0,0,0.5,0,0.6666666666666666,0,0.42857142857142855
5373,0,0,0,0.3333333333333333,0,0,0,0,0,0,1,0.5,0,0.3333333333333333,0,1,0,0.3333333333333333,0,0.42857142857142855
5374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5375,1,1,1.5,1.6666666666666667,1.75,2,2,0.5,0.5,0,1.5,1,2,2,1,2,1,1.3333333333333333,0,1.5714285714285714
5376,1.5,1.6666666666666667,3,2,2.5,2.25,1,2,1,1,2,2,2,1.3333333333333333,3,2.5,2,1.3333333333333333,2,2.142857142857143
5377,1.5,1,2,1.3333333333333333,1.25,1.75,2,1.5,1,1,0.5,1,2,2,2,1.5,1,1.6666666666666667,0,1.2857142857142858
5378,0,0,1,1.3333333333333333,0.25,0.25,0,0,0,2,0,0,0,1,0,0.5,0,1,0,0.6666666666666666
5379,0.5,1,1,1.3333333333333333,0,0.75,0,0.5,0,0,0,0.5,1,1.3333333333333333,1,0.5,2,2,0,1
5380,0,0.3333333333333333,0,1.3333333333333333,0.75,1.75,2,2,1,0,0.5,1.5,3,1,1,2,2,2,0,1.7142857142857142
5381,1.5,1,0.5,1.6666666666666667,0.75,1.5,2,1,0.5,2,0.5,1.5,3,0.6666666666666666,1,2.5,1,1.3333333333333333,0,1.8571428571428572
5382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5383,0.5,0,0,2,0,1.25,2,1,0,1,0,0,1,2,2,0,1,0,0,1.2857142857142858
5384,3,2.6666666666666665,3,2.6666666666666665,1.75,3,3,2,0,3,3,3,3,3,3,2.5,2,2.3333333333333335,3,2.8333333333333335
5385,0,0,1,1.3333333333333333,0,0.25,0,1.5,1.5,0,0,0.5,1,0.6666666666666666,0,0,1,0,0,1.3333333333333333
5386,2,1,1.5,2,1,1.75,2,2,1.5,2,1,1,2,1.3333333333333333,2,2,2,1.3333333333333333,1,1.6666666666666667
5387,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
5388,2,2,2,2.3333333333333335,2.5,2.5,2,2,1,2,2,2,2,2,2,3,2,2.3333333333333335,2,1.8571428571428572
5389,0.5,0,0,0.3333333333333333,0,1,0,0.5,1,0,0,1.5,0,0.6666666666666666,1,1.5,1,0.3333333333333333,0,0.8571428571428571
5390,0.5,0,0.5,2.6666666666666665,1,0.25,0,1.5,0,0,0,2,2,2,2,2.5,2,1.6666666666666667,0,2.142857142857143
5391,0,0.3333333333333333,0,0,0,0.25,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0
5392,1.5,1.3333333333333333,2,2,1.25,2,2,2,1,2,2,1.5,3,1.3333333333333333,2,2,2,2,0,2
5393,1.5,2.3333333333333335,1.5,3,2,2.75,3,2.5,2.5,2,3,2.5,3,2.3333333333333335,2,3,2,2.3333333333333335,1,2.857142857142857
5394,1,0.6666666666666666,0.5,2,0.75,1.25,2,1.5,2,2,1.5,1.5,2,1.3333333333333333,0,2,2,1.6666666666666667,0,1.8571428571428572
5395,1,0.3333333333333333,2,2.6666666666666665,1.5,2.5,2,2.5,2,2,2,1.5,2,1.3333333333333333,2,2.5,2,2,1,2.2857142857142856
5396,3,0.3333333333333333,2.5,3,1.75,2.25,2,1.5,0,3,2.5,2.5,3,2.6666666666666665,2,3,3,3,1,2.8333333333333335
5397,1.5,0.6666666666666666,1.5,2.3333333333333335,1.5,2,1,1,1,1,2,2,2,1.3333333333333333,2,3,3,2,0,2
5398,0.5,0.3333333333333333,1.5,1.3333333333333333,1,2,2,1,1,2,0.5,1.5,2,1.6666666666666667,2,2,2,1.3333333333333333,0,1.5
5399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5400,0.5,0,0.5,0,0,1.5,1,1,0.5,0,0.5,1,0,0.3333333333333333,1,2,1,0.6666666666666666,0,0.42857142857142855
5401,2,0.3333333333333333,1,2,1.25,2.25,3,2,1,1,1,2,2,1.3333333333333333,3,3,2,2.3333333333333335,2,2.142857142857143
5402,0,1,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
5403,0,0,1,0.3333333333333333,0,0,0,1,0,0,0,0,0,0.3333333333333333,0,0,0,0.6666666666666666,0,0.42857142857142855
5404,1,0.3333333333333333,1.5,2.3333333333333335,0.75,2.5,2,2,1.5,0,1,1,2,1.6666666666666667,2,2.5,2,2,1,1.8571428571428572
5405,3,3,3,3,3,3,3,3,2.5,3,3,3,3,3,3,3,3,2.6666666666666665,3,3
5406,2,1.6666666666666667,2,2,2,2,2,1.5,1.5,2,2,2,2,2,2,2.5,2,2,2,2.142857142857143
5407,0.5,0.6666666666666666,1.5,0,2,1.25,3,1.5,1,0,0,2,3,0.6666666666666666,3,1,0,1.3333333333333333,0,1.4
5408,1.5,1.3333333333333333,2,2.6666666666666665,1.5,2,1,2,2.5,2,2,2.5,3,1.3333333333333333,1,3,2,2.6666666666666665,1,2.5714285714285716
5409,2,1.3333333333333333,2.5,3,1.75,3,2,2.5,2.5,2,2,2.5,2,2.3333333333333335,3,3,2,2.3333333333333335,2,2.7142857142857144
5410,2.5,2,3,3,2,2.75,3,2,1.5,3,2.5,3,3,3,3,3,3,3,3,3
5411,2,2,2.5,2,1.75,2,3,2,1,2,2.5,2,2,2,2,2,2,2,1,2
5412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5413,2,2,3,2.3333333333333335,2,2.5,3,3,2,2,1.5,2.5,2,2.3333333333333335,2,2.5,3,2.6666666666666665,2,2.2857142857142856
5414,0,2.3333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5415,0,0.3333333333333333,0,1.6666666666666667,0,2.5,1,1,0.5,1,1,0,1,0,2,1,0,0,0,0.7142857142857143
5416,0.5,0.3333333333333333,0,0.6666666666666666,0,0.25,1,1,1.5,0,0,0.5,0,0.3333333333333333,0,1,0,0.3333333333333333,0,0.42857142857142855
5417,1.5,2,2,2.6666666666666665,1.5,2,2,2.5,1.5,2,1,2,2,2,2,2.5,2,2,1,2.1666666666666665
5418,2,1.3333333333333333,2,2,2,2,2,2,1,2,1.5,1.5,2,1.3333333333333333,2,2,2,2,2,1.8571428571428572
