0	7
1	6
2	1
3	4
4	4
5	7
6	9
7	4
8	0
9	1
10	4
11	1
12	2
13	8
14	1
15	1
16	1
17	7
18	1
19	1
20	5
21	1
22	3
23	0
24	8
25	7
26	1
27	1
28	1
29	0
30	0
31	1
32	7
33	3
34	1
35	3
36	3
37	0
38	1
39	1
40	1
41	0
42	3
43	4
44	2
45	3
46	6
47	8
48	4
49	1
50	3
51	6
52	4
53	0
54	4
55	8
56	0
57	8
58	1
59	6
60	7
61	1
62	2
63	6
64	4
65	6
66	6
67	6
68	6
69	4
70	9
71	2
72	0
73	7
74	8
75	6
76	8
77	8
78	8
79	2
80	1
81	9
82	3
83	0
84	3
85	1
86	1
87	8
88	3
89	7
90	2
91	0
92	9
93	8
94	1
95	5
96	6
97	3
98	6
99	1
100	7
101	8
102	1
103	5
104	1
105	9
106	9
107	0
108	2
109	6
110	5
111	9
112	3
113	9
114	1
115	5
116	8
117	3
118	1
119	4
120	4
121	1
122	4
123	3
124	1
125	3
126	3
127	8
128	6
129	3
130	4
131	3
132	5
133	4
134	6
135	9
136	0
137	0
138	6
139	4
140	0
141	6
142	6
143	2
144	5
145	6
146	1
147	6
148	6
149	8
150	6
151	7
152	5
153	8
154	4
155	1
156	1
157	3
158	9
159	1
160	2
161	3
162	3
163	2
164	0
165	0
166	3
167	7
168	0
169	7
170	2
171	1
172	6
173	1
174	7
175	1
176	5
177	8
178	1
179	1
180	7
181	5
182	8
183	9
184	7
185	6
186	3
187	6
188	6
189	7
190	3
191	8
192	4
193	3
194	3
195	8
196	7
197	0
198	1
199	9
200	0
201	9
202	8
203	9
204	4
205	4
206	8
207	1
208	6
209	0
210	8
211	9
212	9
213	8
214	7
215	4
216	4
217	9
218	9
219	0
220	9
221	0
222	2
223	6
224	4
225	3
226	0
227	8
228	1
229	2
230	9
231	1
232	1
233	0
234	2
235	8
236	6
237	1
238	8
239	4
240	8
241	3
242	4
243	1
244	0
245	4
246	4
247	0
248	3
249	2
250	0
251	9
252	3
253	0
254	7
255	1
256	6
257	0
258	8
259	6
260	9
261	8
262	2
263	2
264	1
265	4
266	8
267	5
268	1
269	0
270	2
271	0
272	6
273	9
274	8
275	4
276	3
277	1
278	7
279	0
280	1
281	8
282	8
283	4
284	7
285	1
286	6
287	1
288	6
289	3
290	2
291	6
292	2
293	3
294	4
295	3
296	7
297	7
298	9
299	8
300	8
301	0
302	1
303	7
304	1
305	4
306	6
307	0
308	6
309	6
310	2
311	6
312	8
313	7
314	1
315	4
316	1
317	0
318	6
319	3
320	8
321	0
322	4
323	3
324	6
325	3
326	3
327	0
328	6
329	4
330	8
331	2
332	0
333	0
334	1
335	8
336	4
337	1
338	3
339	3
340	4
341	3
342	3
343	0
344	5
345	6
346	2
347	2
348	8
349	4
350	2
351	2
352	3
353	0
354	1
355	0
356	7
357	3
358	0
359	4
360	3
361	1
362	3
363	4
364	0
365	3
366	9
367	7
368	0
369	3
370	0
371	9
372	8
373	3
374	7
375	1
376	0
377	7
378	2
379	9
380	9
381	1
382	4
383	2
384	3
385	7
386	6
387	9
388	9
389	9
390	3
391	0
392	6
393	1
394	7
395	1
396	4
397	3
398	1
399	8
400	1
401	1
402	8
403	5
404	7
405	4
406	9
407	7
408	1
409	3
410	0
411	6
412	8
413	1
414	9
415	8
416	4
417	4
418	9
419	9
420	0
421	9
422	0
423	6
424	2
425	8
426	3
427	2
428	4
429	8
430	6
431	8
432	2
433	0
434	4
435	4
436	6
437	9
438	1
439	4
440	0
441	1
442	0
443	8
444	1
445	0
446	5
447	0
448	2
449	8
450	1
451	0
452	7
453	4
454	3
455	6
456	0
457	6
458	9
459	0
460	3
461	8
462	4
463	9
464	6
465	3
466	6
467	9
468	6
469	1
470	2
471	1
472	4
473	8
474	4
475	8
476	1
477	3
478	0
479	5
480	8
481	7
482	6
483	4
484	2
485	6
486	8
