0	3727	1
1	6921	1
2	11336	1
2	11744	1
3	357	1
3	10288	1
3	1656	1
3	1916	1
3	2018	1
3	3468	1
3	3633	1
3	5162	1
3	5609	1
3	8233	1
4	5	1
4	7621	1
5	7621	1
6	10134	1
6	10247	1
6	414	1
6	10325	1
6	10346	1
6	10395	1
6	840	1
6	10445	1
6	2065	1
6	2066	1
6	2280	1
6	2312	1
6	2361	1
6	2387	1
6	2482	1
6	2654	1
6	10757	1
6	3134	1
6	3135	1
6	3393	1
6	3456	1
6	10860	1
6	4119	1
6	4503	1
6	4523	1
6	5128	1
6	5201	1
6	5407	1
6	11399	1
6	11401	1
6	6775	1
6	7030	1
6	11723	1
6	7138	1
6	7333	1
6	11806	1
6	7679	1
6	8055	1
6	8260	1
6	8443	1
6	11921	1
6	8675	1
6	11929	1
6	8860	1
6	11964	1
6	11991	1
6	9505	1
6	9547	1
7	3201	1
8	903	1
8	1419	1
8	3459	1
8	10941	1
8	11345	1
8	11738	1
8	9643	1
9	1044	1
10	3968	1
11	2307	1
11	10650	1
11	10834	1
11	5488	1
12	5218	1
13	692	1
13	1809	1
13	3201	1
13	6323	1
14	6990	1
15	11130	1
15	11561	1
15	7109	1
16	2663	1
16	3999	1
16	4119	1
16	5530	1
16	6990	1
16	11741	1
16	9369	1
16	9788	1
17	11647	1
17	12036	1
19	10831	1
19	10833	1
20	10030	1
20	1539	1
21	1936	1
21	2489	1
22	460	1
22	1159	1
22	5169	1
22	8953	1
23	9966	1
23	2331	1
24	1774	1
24	4962	1
24	6867	1
25	2832	1
25	8372	1
26	4528	1
26	11130	1
26	7109	1
28	10969	1
28	4876	1
28	11290	1
28	6135	1
28	6773	1
29	7338	1
30	11738	1
30	7338	1
31	3859	1
31	4876	1
31	5530	1
31	6214	1
32	178	1
32	10443	1
32	9331	1
32	9435	1
33	9780	1
35	357	1
36	3169	1
36	3510	1
37	898	1
37	923	1
38	11290	1
38	5316	1
38	5488	1
39	10242	1
39	302	1
39	351	1
39	647	1
39	10389	1
39	890	1
39	969	1
39	2307	1
39	2617	1
39	3266	1
39	3621	1
39	10925	1
39	3859	1
39	11004	1
39	4803	1
39	5169	1
39	11336	1
39	5725	1
39	6216	1
39	6643	1
39	6685	1
39	6773	1
39	7480	1
39	7500	1
39	7685	1
39	11953	1
39	9729	1
40	10323	1
40	628	1
40	5530	1
40	5991	1
40	7216	1
40	8165	1
40	11953	1
41	265	1
41	602	1
41	2230	1
41	6506	1
41	12038	1
42	3169	1
43	3387	1
44	760	1
44	1105	1
44	2318	1
44	2334	1
44	3042	1
44	6587	1
44	6654	1
44	7193	1
44	8364	1
44	8520	1
44	8842	1
44	9032	1
44	11971	1
44	12039	1
44	9269	1
45	4324	1
46	3203	1
47	2705	1
47	8299	1
48	5763	1
50	6713	1
51	10546	1
52	6793	1
53	5979	1
54	3438	1
55	145	1
56	2147	1
56	2307	1
56	8781	1
57	4081	1
59	177	1
60	11647	1
62	532	1
63	10546	1
63	3201	1
63	3203	1
64	532	1
64	1439	1
64	3201	1
64	3377	1
64	3406	1
64	3488	1
64	3490	1
64	10925	1
64	5694	1
64	11738	1
